user_columns_setting_id	user_id	list_type	column_name	column_group_name	display_number	column_width
6574		Intern_KanriGroupOffice	ID		1	0
6575		Intern_KanriGroupOffice	帳票		2	0
6576		Intern_KanriGroupOffice	事業所名		3	0
6577		Intern_KanriGroupOffice	事業所名（かな）		4	0
6578		Intern_KanriGroupOffice	代表番号		5	0
6579		Intern_KanriGroupOffice	郵便番号		6	0
6580		Intern_KanriGroupOffice	所在地		7	0
6581		Intern_KanriGroupOffice	法人番号		8	0
6582		Intern_KanriGroupOffice	事業所床面積		9	0
6583		Intern_KanriGroupOffice	職員数（常勤数）		10	0
6584		Intern_KanriGroupOffice	職員数（非常勤数）		11	0
6585		Intern_KanriGroupOffice	職員数（合計）		12	0
6586		Intern_KanriGroupOffice	事業所枝番号		13	0
6587		Intern_KanriGroupOffice	監理団体許可番号		14	0
6588		Intern_KanriGroupOffice	許可年月日		15	0
6589		Intern_KanriGroupOffice	計画対象期間（開始）		16	0
6590		Intern_KanriGroupOffice	計画対象期間（終了）		17	0
6591		Intern_KanriGroupOffice	新設年月日		18	0
6592		Intern_KanriGroupOffice	廃止年月日		19	0
6593		Intern_KanriGroupOffice	移行対象職種の取扱い職種の範囲		20	0
6594		Intern_KanriGroupOffice	実習監理する団体監理型技能実習が行われる地域		21	0
6595		Intern_KanriGroupOffice	監査実施頻度		22	0
6596		Intern_KanriGroupOffice	識別コード		23	0
6597		Intern_KanriGroupOffice	備考欄（自由記載項目）		24	0
6598		Intern_KanriGroupStaff	ID		1	0
6599		Intern_KanriGroupStaff	社員名		2	0
6600		Intern_KanriGroupStaff	よみがな		3	0
6601		Intern_KanriGroupStaff	生年月日		4	0
6602		Intern_KanriGroupStaff	性別		5	0
6603		Intern_KanriGroupStaff	役職		6	0
6604		Intern_KanriGroupStaff	国籍		7	0
6605		Intern_KanriGroupStaff	勤務先		8	0
6606		Intern_KanriGroupStaff	代表理事		9	0
6607		Intern_KanriGroupStaff	責任者役員		10	0
6608		Intern_KanriGroupStaff	役員		11	0
6609		Intern_KanriGroupStaff	監理責任者		12	0
6610		Intern_KanriGroupStaff	計画作成指導担当		13	0
6611		Intern_KanriGroupStaff	調整担当者		14	0
6612		Intern_KanriGroupStaff	説明担当者		15	0
6613		Intern_KanriGroupStaff	代表番号		16	0
6614		Intern_KanriGroupStaff	郵便番号		17	0
6615		Intern_KanriGroupStaff	住所		18	0
6616		Intern_KanriGroupStaff	資格・免許		19	0
6617		Intern_KanriGroupStaff	メールアドレス		20	0
6618		Intern_KanriGroupStaff	住民票提出		21	0
6619		Intern_KanriGroupStaff	監理事業に従事した経歴（他の監理団体におけるものも含む。）		22	0
